"conventional ","(adj.) in line with accepted ideas or standards; trite

a conventional painting"
"blu tac (blu tack) ",""
"Velcro ","(n.) used for a closure made from fabric with small hooks that sticks to another piece of the same fabric"
"cling tape ","a transparent plastic sticky wraping"
"sand paper ","A paper-back abrasive used to smooth surfaces"
"grid ","(especially British English) a system of electric wires or pipes carrying gas, for sending power over a large area

the development of the country's electricity grid"
"current ","A flow of electric charge.

Check all your wiring before switching on the current."
"lose one's train of thought ","to forget what one was talking or thinking about"
"abacus ","An ancient Chinese counting device that used rods on which were mounted movable counters"
"yarn ","fibers that have been spun together"
"tab ","a small piece of metal with a ring attached which is pulled to open cans of food, drink, etc. 

also: pull tab"
"put up a shelf ","to hang a shelf"
"safety pin ","a pin used for fastening things, especially cloth, which has a round end into which the sharp point fits, so that it is covered and cannot stick into you"
"second-hand embarrassment ","the feeling of embarrassment from observing the embarrassing actions of another person"
"local takeaway ","local restaurant where you can order food to go

Two burgers to take away, please."
"health hazard ","may cause or suspected of causing serious health effects

also occupational hazard, fire hazard

Growing levels of pollution represent a serious health hazard to the local population."
"to face eviction ","to be expelled from one's home because one can't pay one's mortgage back

He is facing eviction from home."
"make an impulse purchase ","Buy something regardless of any reason or purpose

Vending machine purchases are often impulse buys."
"albeit ","although

/ˌɔːlˈbiːɪt/"
"wasteful ","using or spending too much

/ˈweɪstfl/

The water shortage is due to wasteful consumption during a period of drought."
"hoarder ","a person who accumulates things and hides them away for future use


/ˈhɔːrdər/"
"Obsessive Personality ","Systematic, strive for mastering a field, more interested in hard work, stubborn."
"get a replacement/refund ","to exchange the purchase/get you money back"
"case study ","a detailed account of the development of a person, a group of people or a situation over a period of time

She co-authored a case study on urban development."
"be scratched ","with damaged surface

The car's paintwork is badly scratched."
"To give spots ","he aim of acne treatments is to shorten the length of time someone has spots."
"a strap came off ","a narrow piece of leather, cloth or other material that is used to fasten something, keep something in place, carry something or hold onto something

a watch with a leather strap"
"an article of clothing ","one piece of clothing/garment

This article of clothing is non-refundable."
"have a leak ","a small hole that lets liquid or gas flow in or out of something by accident

a leak in the gas pipe"
"Recession ","period of reduced economic activity

These industries have been hard hit by recession."
"to be soft on ","not strict enough

The government is not becoming soft on crime."
"go bankrupt ","not get enough money to pay debts

/ˈbæŋkrʌpt/

The company was declared bankrupt in the High Court."
"to be booming ","To be doing very well

By the 1980s, the computer industry was booming."
"shortage ","a situation when there is not enough of the people or things that are needed

Industry is facing a serious labour shortage."
"boost ","increase

A last-minute rush by Christmas shoppers boosted sales."
"undermine ","to weaken or ruin by degrees

The director saw this move as an attempt to undermine his authority."
"struggle ","to try very hard to do, achieve, or deal with something that is difficult or that causes problems

She struggled for 10 years to achieve success as an actress."
"tuition fee ","money that you pay to take lessons, especially at a college, university, or private school

The scholarship pays the tuition fees but students still need to find money for accommodation, meals and books."
"cut back on ","to reduce

Local authorities have been forced to cut back on bureaucracy."
"skill shortage ","The unemployed do not have the required skills for the current job vacancies"
"to launch an initiative ","to begin a plan or activity to solve a problem or improve a situation"
"win a case ","be successful in proving someone guilty or not guilty

She lost the case and was ordered to pay legal fees."
"uphold a claim ","when the court announces that the claim is going to be satisfied

The Press Council refused to uphold the claim."
"probable cause ","reasonable cause for issuing a search warrant or making an arrest; more than mere suspicion"
"face chargers ","an official claim made by the police that somebody has committed a crime
She is almost certain to face criminal charges."
"extreme poverty ","the state of being extremely poor

/ˈpɒvəti/"
"bleak ","depressing, discouraging, harsh, cold, barren, raw

The future looks bleak for the fishing industry."
"cause-and-effect relationship ","An association between two variables that identifies one (the effect) occurring as a result of or in response to the other (the cause)."
"harvest ","The gathering of ripe crops for a season.

Farmers are extremely busy during the harvest."
"to meet a target ","when you achieve something you want

Hospital performance targets will not be met."
"flea market ","an open-air street market for inexpensive or secondhand articles"
"chill out ","relax completely

They sometimes meet up to chill out and watch a movie."
"undermine one's reputation/confidence ","y to make somebody's reputation/confidence gradually weaker or less effective"
"find a fault ","find something that is wrong or not perfect"
"such typical double standards ","rule or moral principle that is unfair because it is used in one situation, but not in another

It was such typical double standart"
"the splits ","a position in which you stretch your legs flat across the floor in opposite directions with the rest of your body sitting straight up
(do the splits)"
"fair enough ","used to say that you agree, or think that something is acceptable"
"fiddle with sth ","keep moving or touching sth with your hands

He was fiddling with his keys while he talked to me."
"to get one's breath back ","to start breathing normally again"
"have a lie-in ","stay in bed later than usual"
"take up sth; take sth up ","to become interested in a new activity and to spend time doing it

They've taken up golf."
"work up a sweat ","make yourself sweat"
"trip over sth ","to knock one's feet against sth and fall or nearly fall

When you're not picking up your feet, you might trip over."
"nausea ","urge to vomit

/ˈnɔːziə/

The nausea had passed and I felt better."
"fatigue ","Extreme tiredness, exhaustion
/fəˈtiːɡ/
I was dropping with fatigue and could not keep my eyes open."
"overtake ","to catch up with

He pulled out to overtake a truck."
"heart rate ","number of beats per minute

Before the examination, each patient's heart rate was measured."
"rejuvinate ","(v.) to make young again; to make like new

His new job seemed to rejuvenate him."
"healthcare ","the service of providing medical care

the costs of healthcare for the elderly"
"to tear a ligament ","to rupture a strong band of tissue in the body that connects bones and supports organs and keeps them in position"
"have smth looked at ","to consult a doctor to show them something that hurts or makes you anxious"
"put smb up ","provide a place to stay

We can put you up for the night."
"building site, construction site ","a piece of land on which a house or other building is being built"
"overlook ","if a building, etc. overlooks a place, you can see that place from the building

Our back yard is overlooked by several houses."
"unbearably hot ","extremely hot"
"be on a budget ","to have a limited amount of money to spend on sth

We decorated the house on a tight budget"
"in the middle of nowhere ","a long way from any town or city

She lives on a small farm in the middle of nowhere."
"spotless ","perfectly clean

I want this place spotless."
"airbnb listing ","an offer on airbnb

It was the weirdest airbnb listing."
"tenant ","A person who pays for the right to live in a residence owned by someone else

They had evicted their tenants for non-payment of rent."
"spacious ","/ˈspeɪʃəs/

large and with plenty of space for people to move around in

The hotel rooms are spacious and comfortable."
"packed with tourists ","very crowded"
"AC ","air conditioning"
"take the mickey out of someone ","mock, tease or make fun of someone

Are you taking the mickey?"
"to be out of pocket ","to have less money than you should have

On business trips she has some travel and other out-of-pocket expenses."
